max,mean,min
70.467366394,5.403215215916712,0.767754252
78.248461989,9.998081924265344,1.035987083
198.311633779,10.387344235723345,1.054649072
230.018732596,9.417769921888599,0.958018869
237.197012571,14.738337104454569,0.855622383
228.678720313,10.958118118371381,0.862904634
222.724521798,10.345790460975493,0.831411887
253.300443957,11.855342429876853,0.784236896
54.509932178,4.367075288140324,0.801643969
56.614178285,5.059883469046325,0.90575043
59.542165103,5.06485169788332,0.872408088
22.365465942,4.821187912593384,0.878322387
28.329233297,3.7616069548548174,0.638964305
49.231169824,5.195037972653692,0.833030663
69.675777175,4.890482344874933,0.819510336
180.71620356,4.236802409757274,0.82880732
191.846736928,8.941176381045551,0.967679501
58.996164844,5.459252939713149,0.967679501
59.025630452,6.621431388324645,0.706954641
146.474677657,7.746784678035962,0.805426305
146.510989367,5.608463636631998,0.784421772
108.356416628,7.154849759768027,0.727094934
123.803066107,7.308654345662986,0.776854126
241.329754858,5.566881418026557,0.734777772
241.329754858,8.631942679053191,0.873901559
239.623199817,8.550480134103525,0.761041891
239.60910141,6.716209678102452,0.705702907
224.573413194,12.05668516496865,0.894377442
222.77381996,10.075405372791607,1.075987182
222.736096702,7.390980508952481,0.936841384
223.25730155,13.812230905269695,1.042494476
