max,mean,min
121.24180257,61.42712510086272,5.396315383
89.078908452,47.28922252225172,3.986876657
122.43027249,62.394248818522875,5.177526322
122.470994103,74.29242130889952,3.785826472
120.233147259,67.67118706947645,18.168632084
102.140050282,52.26242376393651,3.811391626
122.739083972,51.87774415598773,4.39591389
122.128317729,67.55197110154533,5.030746313
122.584896881,76.22362519248611,32.065531396
117.485882678,59.133517527329694,4.091592193
122.038051775,48.692908611912706,4.527839668
122.888640576,60.95999746102379,4.319677801
121.990396142,69.09715270873403,4.465110597
121.032707508,67.97208051541195,15.423318463
97.166261699,47.982465142263784,4.259126322
122.369590726,56.06259146461599,3.871606931
122.340400106,69.12335441095146,4.391183455
122.076187726,72.856205322454,28.862936222
110.954008368,60.908307515768165,4.933739322
123.185457559,117.55586558576138,111.37508169
